year,half,type,count_requests_received,count_disclosed
2024,1,criminal or government agency subpoena,205,198
2024,1,criminal court order,49,33
2024,1,criminal search warrant,27,26
2024,1,cross-border request,22,11
2024,1,civil subpoena,10,9
2023,2,criminal or government agency subpoena,194,183
2023,2,criminal court order,49,38
2023,2,criminal search warrant,10,10
2023,2,cross-border request,17,0
2023,2,civil subpoena,7,5
2023,1,criminal or government agency subpoena,166,156
2023,1,criminal court order,59,42,
2023,1,criminal search warrant,13,12
2023,1,cross-border request,13,1
2023,1,civil subpoena,5,5
